episode,reward,rolling_reward_50,epsilon,mean_loss,acceptance_rate,action_0,action_1,action_2,action_3,action_4
133,137.953974545585,163.03784763039462,0.05000000000000002,0.20823475221792856,0.5833333333333334,1,0,0,11,0
134,191.72444720459072,163.84309860860077,0.05000000000000002,0.10565668406585853,0.9166666666666666,0,0,0,12,0
135,219.55918259956294,165.44479746094686,0.05000000000000002,0.054028348376353584,1.0,0,1,1,10,0
136,0.0,164.1766444481098,0.05000000000000002,0.02846280058535437,0.0,0,12,0,0,0
137,95.19112885273755,163.6386217718838,0.05000000000000002,0.13776009669527411,0.4166666666666667,6,1,0,5,0
138,199.718640498389,162.48891197248432,0.05000000000000002,0.11888462568943699,0.6666666666666666,0,6,0,6,0
139,108.9863655386932,158.8357727111569,0.05000000000000002,0.07263539421061675,0.5,9,0,0,3,0
140,192.57068392715206,160.72703967508383,0.05000000000000002,0.03635825961828232,0.5833333333333334,0,11,0,1,0
141,151.81297606974363,159.3575626459412,0.05000000000000002,0.0822885362431407,0.6666666666666666,10,1,1,0,0
142,35.04252293467891,154.2686316074704,0.05000000000000002,0.0896520580475529,0.08333333333333333,0,12,0,0,0
143,147.42518343921046,153.81376568718508,0.05000000000000002,0.05914998302857081,0.25,0,11,0,1,0
144,169.46394358213655,155.6570273259271,0.05000000000000002,0.04438829546173414,0.4166666666666667,0,12,0,0,0
145,45.46251731810111,155.021664597268,0.05000000000000002,0.04708093078806996,0.25,11,0,1,0,0
146,0.0,151.88611025459258,0.05000000000000002,0.08727516978979111,0.0,0,12,0,0,0
147,188.39231685893122,153.9046843406878,0.05000000000000002,0.11949738549689452,0.3333333333333333,0,12,0,0,0
148,208.97085490679632,154.99689278126073,0.05000000000000002,0.1701772672434648,0.4166666666666667,0,12,0,0,0
149,297.56512893387276,156.30885854031396,0.05000000000000002,0.08773285957674186,0.6666666666666666,0,12,0,0,0
150,189.84573532022046,153.53184430100836,0.05000000000000002,0.06446647426734368,0.5,1,11,0,0,0
151,210.5206380695463,152.62109401555014,0.05000000000000002,0.09918883194526036,0.5,1,11,0,0,0
